Sales Invoice Enquiry as of 17/06/2026,,,,,
Transaction No.,Completed Date,Due Date,Customer Code,Customer Name,Total
SI-00091375,23/10/2024,23/10/2024,RJC960,Ronald J Crisp Pty Ltd,157.00
SI-00091376,23/10/2024,23/10/2024,JDS555,Jewellery Design Studio,"2,209.14"
SI-00091377,23/10/2024,23/10/2024,JH567,Jim Hughes & Sons,2.48
SI-00091378,23/10/2024,22/11/2024,WFJ1248,Wynnum Fine Jewellers,"2,015.03"
SI-00091379,24/10/2024,23/11/2024,JG548,Jewellers Goldsmiths,"4,960.43"
SI-00091380,24/10/2024,24/10/2024,SDJ1094,Stephen Dibb Jewellery,137.98
SI-00091381,24/10/2024,23/11/2024,MDJ002,Mazin's Diamond Jewellers,"11,910.82"
SI-00091382,24/10/2024,23/11/2024,I007A,IJC- Elysium Jewellers,"1,900.46"
SI-00091383,24/10/2024,23/11/2024,DDJ269,Daniele Designer Jewellers,515.59
SI-00091384,24/10/2024,23/11/2024,DDJ269,Daniele Designer Jewellers,"3,446.12"
SI-00091385,24/10/2024,24/10/2024,CDJ237,Connie Dimas Jewellery,2.07
SI-00091386,24/10/2024,23/11/2024,SFJ1001,Scagnetti Fine Jewellers,8.81
SI-00091387,28/10/2024,24/11/2024,BFJ144,Blizzards Fine Jewellers,"11,035.76"
SI-00091387/1,28/10/2024,24/11/2024,BFJ144,Blizzards Fine Jewellers,206.31
SI-00091388,24/10/2024,24/10/2024,AFJ001,Acacia Fine Jewellers - NSW,595.40
SI-00091389,24/10/2024,23/11/2024,TAJ1134,The Avenue Jewellery & Gifts,501.22
SI-00091390,25/10/2024,24/11/2024,I101A,IJC- Etheringtons The Jewellers,"1,576.35"
SI-00091391,28/10/2024,24/11/2024,I014A,IJC- Aspire Jewellery - Swan Hill,"5,108.40"
SI-00091392,25/10/2024,24/11/2024,AJ027,Aldo Jewellers,0.00
SI-00091393,25/10/2024,24/11/2024,PPJ876,Phil Peel Jewellers,0.00
SI-00091394,25/10/2024,24/11/2024,HDJ462,Haab Designer Jewellers - Launceston,0.00
SI-00091395,31/10/2024,31/10/2024,SJ002,Staffords Jewellery,"14,633.20"
SI-00091396,14/11/2024,24/11/2024,COG220,City of Gold,"26,550.75"
SI-00091397,25/10/2024,24/11/2024,BJ110,Bachini Jewellers,5.27
SI-00091398,28/10/2024,25/10/2024,HOG502,House of Gold-Salisbury,"9,301.65"
SI-00091399,25/10/2024,25/10/2024,EJ002,Esola,981.57
SI-00091400,28/10/2024,27/11/2024,MCG788,Monte Cristo Gems,673.16
SI-00091401,28/10/2024,27/11/2024,S382,SC- Kyabram Showcase Jeweller,"1,848.69"
SI-00091402,28/10/2024,27/11/2024,CMJ223,Class A Manufacturing Jewellers,"13,017.47"
SI-00091403,29/10/2024,29/10/2024,DSJ268,Daniel Stead Jewellery,331.87
SI-00091404,30/10/2024,28/11/2024,S017,SC- Pontifex Jewellers,"1,437.59"
SI-00091405,29/10/2024,28/11/2024,SJ1063,Simons Jewellery - Wollongong,"1,503.59"
SI-00091406,30/10/2024,28/11/2024,EBF001,Ernesto Buono Fine Jewellery,777.35
SI-00091407,15/11/2024,15/12/2024,I015A,IJC- Robert Cliff Master Jewellers,"1,918.41"
SI-00091408,30/10/2024,29/11/2024,SJW1011,Selected Jewellery & Watches Co,"1,153.40"
SI-00091409,30/10/2024,29/11/2024,JGE516,J G Emporium,284.84
SI-00091410,31/10/2024,31/10/2024,EJ350,Engage Jewellery,280.39
SI-00091411,06/11/2024,06/12/2024,HFJ494,Hogan's Family Jewellers,"1,282.27"
SI-00091412,06/11/2024,06/12/2024,KSS597,K Smith & Son Jewellers,"1,085.94"
SI-00091413,08/11/2024,08/11/2024,GJK398,Gabriel Kuryo,178.11
SI-00091414,06/11/2024,06/12/2024,MJG731,Mazzone Jewellers Glynde,594.77
SI-00091416,06/11/2024,06/12/2024,TJ001,Top Jeweller,"4,150.19"
SI-00091417,06/11/2024,06/12/2024,JCJ583,Jon Crosbie Jeweller,623.31
SI-00091418,06/11/2024,06/11/2024,LD647,Le-Diamant,"3,204.44"
SI-00091419,13/11/2024,13/11/2024,MJ776,Minas Jewellers,"2,517.13"
SI-00091419/1,23/05/2025,23/05/2025,MJ776,Minas Jewellers,766.99
SI-00091421,11/11/2024,11/12/2024,AJR001,Atlas Jewellers by Ray,"1,781.79"
SI-00091422,06/11/2024,06/12/2024,BDJ124,BB Designer Jewellers,170.49
SI-00091423,06/11/2024,06/12/2024,S017,SC- Pontifex Jewellers,"1,419.00"
SI-00091424,06/11/2024,06/12/2024,I014A,IJC- Aspire Jewellery - Swan Hill,189.43
SI-00091425,07/11/2024,07/12/2024,AMD050,Andrew Mazzone Design Jeweller,"1,320.76"
SI-00091426,07/11/2024,07/11/2024,GFJ410,Gemara Fine Jewellers,715.92
SI-00091427,07/11/2024,07/12/2024,S525,SC- Diamonds +,"1,927.13"
SI-00091428,07/11/2024,07/12/2024,BJ110,Bachini Jewellers,4.24
SI-00091429,07/11/2024,07/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091430,11/11/2024,08/12/2024,JFJ538,JC Fine Jewellers,"7,575.57"
SI-00091431,07/11/2024,07/12/2024,SJ003,Speirs Jewellers,"6,858.57"
SI-00091432,12/11/2024,12/12/2024,LBJ652,Leon Baker Jewellers,"1,152.46"
SI-00091433,07/11/2024,07/12/2024,S111,SC- Laursim Greg Neill,292.69
SI-00091435,28/01/2025,28/01/2025,FTL382,For The Love Of Gold,"1,669.14"
SI-00091436,08/11/2024,08/12/2024,BJ110,Bachini Jewellers,5.27
SI-00091437,13/11/2024,13/12/2024,S111,SC- Laursim Greg Neill,"2,458.36"
SI-00091438,11/11/2024,11/12/2024,JCJ583,Jon Crosbie Jeweller,518.08
SI-00091439,11/11/2024,11/11/2024,APL102,Austgold Pty Ltd,"1,393.73"
SI-00091440,11/11/2024,11/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091441,11/11/2024,11/12/2024,CLJ212,Chris Lewis Jewellers,768.29
SI-00091442,12/11/2024,12/12/2024,CJ181,Camaruti Jewellers,"14,190.69"
SI-00091443,11/11/2024,11/12/2024,SJ003,Speirs Jewellers,"7,583.41"
SI-00091444,11/11/2024,11/12/2024,AJC-001,Atlas Jewellers - Casula,"13,222.27"
SI-00091445,11/11/2024,11/11/2024,JH567,Jim Hughes & Sons,"2,258.33"
SI-00091446,11/11/2024,11/12/2024,S125,SC- York Jewellers,127.94
SI-00091447,12/11/2024,12/11/2024,DJ321,DJ Jewellers,"2,167.84"
SI-00091448,12/11/2024,12/12/2024,SJ1063,Simons Jewellery - Wollongong,"3,392.88"
SI-00091449,12/11/2024,12/11/2024,AC057,Annabelle & Co - West Ryde,727.99
SI-00091449/1,08/05/2025,08/05/2025,AC057,Annabelle & Co - West Ryde,791.26
SI-00091450,12/11/2024,12/11/2024,OTJ831,Ori The Jeweller,"8,081.17"
SI-00091451,07/01/2025,07/01/2025,SD1019,Sharon Davies,"97,900.00"
SI-00091452,12/11/2024,12/12/2024,DDJ269,Daniele Designer Jewellers,"5,200.14"
SI-00091453,12/11/2024,12/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091455,12/11/2024,12/12/2024,SC002,SC- NINIKI,"10,689.70"
SI-00091456,12/11/2024,12/12/2024,SC002,SC- NINIKI,"5,531.71"
SI-00091457,15/11/2024,21/11/2024,CFJ255,Crown Family Jewellers,"3,306.03"
SI-00091458,15/11/2024,15/11/2024,RJC960,Ronald J Crisp Pty Ltd,607.11
SI-00091459,14/11/2024,12/12/2024,I101A,IJC- Etheringtons The Jewellers,"4,055.87"
SI-00091460,13/11/2024,13/11/2024,JJW595,The Jeweller & Watchmaker Service Ctr,346.94
SI-00091461,13/11/2024,13/12/2024,EJ352,Epiphany Jewellers,"1,302.56"
SI-00091462,13/11/2024,20/11/2024,FD001,Forever Diamonds Pty Ltd,"3,049.58"
SI-00091463,13/11/2024,13/12/2024,S382,SC- Kyabram Showcase Jeweller,199.54
SI-00091464,13/11/2024,13/12/2024,HPJ487,Henri Post Jewellers,0.00
SI-00091465,13/11/2024,13/11/2024,GJK398,Gabriel Kuryo,284.83
SI-00091466,13/11/2024,13/11/2024,RNJ933,Rhea Nikolaou Jewellery,918.57
SI-00091468,13/11/2024,13/11/2024,I046A,IJC- Campione Jewellery,"1,444.19"
SI-00091469,13/11/2024,13/12/2024,SC002,SC- NINIKI,"10,863.89"
SI-00091470/1,13/11/2024,20/11/2024,FD001,Forever Diamonds Pty Ltd,470.24
SI-00091471,14/11/2024,14/12/2024,SJ003,Speirs Jewellers,"1,695.74"
SI-00091472,14/11/2024,14/12/2024,BFJ144,Blizzards Fine Jewellers,309.14
SI-00091473,14/11/2024,14/12/2024,JGW551,Jewellery & Gift Warehouse,489.84
SI-00091474,14/11/2024,14/12/2024,AMD050,Andrew Mazzone Design Jeweller,230.23
SI-00091475,14/11/2024,14/11/2024,JOH564,Jewels Of Hawthorn,310.64
SI-00091476,14/11/2024,14/12/2024,S309,SC- Melbourne Jewellers,310.64
SI-00091477,14/11/2024,14/12/2024,MDJ002,Mazin's Diamond Jewellers,"2,144.89"
SI-00091478,18/11/2024,18/12/2024,CLJ212,Chris Lewis Jewellers,922.99
SI-00091479,19/11/2024,18/11/2024,DGJ299,Diamond Globe Jewellers,"5,443.66"
SI-00091480,14/11/2024,14/11/2024,RI958,Romeo Imports,19.14
SI-00091481,18/11/2024,18/12/2024,GJ454,Greenslopes Jewellers,325.83
SI-00091482,15/11/2024,15/11/2024,CJ208,Charles Jewellers,"2,929.00"
SI-00091483,18/11/2024,18/12/2024,SCJ001,Simon Curwood Jewellers,186.52
SI-00091483/1,27/11/2024,27/12/2024,SCJ001,Simon Curwood Jewellers,140.91
SI-00091484,18/11/2024,18/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091485,18/11/2024,18/12/2024,DDJ269,Daniele Designer Jewellers,"5,329.72"
SI-00091486,18/11/2024,18/11/2024,OTJ831,Ori The Jeweller,"3,534.80"
SI-00091487,18/11/2024,18/11/2024,AC058,Annabelle & Co - Wetherill Park,274.47
SI-00091488,18/11/2024,18/11/2024,OTJ831,Ori The Jeweller,783.71
SI-00091489,18/11/2024,18/11/2024,SP1081,St Prin,183.67
SI-00091490,18/11/2024,18/11/2024,APL102,Austgold Pty Ltd,346.14
SI-00091491,18/11/2024,18/12/2024,AJR001,Atlas Jewellers by Ray,173.90
SI-00091492,20/11/2024,19/11/2024,LD647,Le-Diamant,304.11
SI-00091493,25/11/2024,19/12/2024,SIJ001,St Ives Jewellers,"5,597.26"
SI-00091494,19/11/2024,18/12/2024,AMD050,Andrew Mazzone Design Jeweller,461.30
SI-00091495,21/11/2024,21/11/2024,AJG034,Aliki Jewellery Gallery,278.83
SI-00091496,19/11/2024,19/12/2024,AB029,Alex Bros,65.50
SI-00091497,19/11/2024,19/12/2024,BJ110,Bachini Jewellers,4.24
SI-00091498,19/11/2024,19/12/2024,S111,SC- Laursim Greg Neill,292.69
SI-00091499,20/11/2024,20/12/2024,DCP317,Diman Co Pty Ltd,"1,163.67"
SI-00091500,21/11/2024,21/11/2024,RJ916,Rainbow Jewellers,"2,307.99"
SI-00091501,20/11/2024,19/12/2024,I111A,IJC- My Jewellers,517.50
SI-00091502,20/11/2024,19/12/2024,VDJ1205,Victor Design Jewellers,627.81
SI-00091503,19/11/2024,19/11/2024,DGJ299,Diamond Globe Jewellers,148.28
SI-00091504,20/11/2024,20/12/2024,SJW1011,Selected Jewellery & Watches Co,"6,186.38"
SI-00091505,20/11/2024,20/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091506,25/11/2024,21/12/2024,EJ403,Gama Jewellery Pty Ltd Trading as Evans Jewellery,"17,213.56"
SI-00091507,05/12/2024,21/12/2024,DWJ307,Diamond World Jewellers,"2,862.78"
SI-00091508,20/11/2024,20/12/2024,PPJ876,Phil Peel Jewellers,"2,140.22"
SI-00091509,21/11/2024,21/12/2024,S316,SC- Watson's Jewellers,"1,548.37"
SI-00091510,06/12/2024,06/12/2024,PJ855,Patrico Jewellers,"3,548.86"
SI-00091511,21/11/2024,21/12/2024,CMJ223,Class A Manufacturing Jewellers,323.16
SI-00091512,21/11/2024,21/12/2024,I046A,IJC- Campione Jewellery,511.03
SI-00091513,25/11/2024,25/12/2024,EBF001,Ernesto Buono Fine Jewellery,"8,534.20"
SI-00091513/1,26/03/2025,25/04/2025,EBF001,Ernesto Buono Fine Jewellery,508.38
SI-00091514,25/11/2024,25/12/2024,I015A,IJC- Robert Cliff Master Jewellers,"6,620.24"
SI-00091515,22/11/2024,22/12/2024,COG220,City of Gold,12.18
SI-00091516,22/11/2024,22/12/2024,BJ110,Bachini Jewellers,5.27
SI-00091517,22/11/2024,22/12/2024,AJR001,Atlas Jewellers by Ray,2.56
SI-00091518,26/11/2024,25/12/2024,PP852,Paton's Place,"1,653.05"
SI-00091519,25/11/2024,25/12/2024,DL311,Diamonds 4 Life,173.48
SI-00091520,25/11/2024,02/12/2024,LC663,Linda & Co - Rhodes,"6,042.47"
SI-00091520/1,31/01/2025,07/02/2025,LC663,Linda & Co - Rhodes,150.94
SI-00091521,26/11/2024,25/11/2024,MJ783,Monaco Jewellers,"2,113.83"
SI-00091522,22/11/2024,29/11/2024,SGJ1082,St. Germain Jewellers,658.42
SI-00091523,22/11/2024,22/12/2024,AJ067,Arabella Jewellers,891.09
SI-00091524,25/11/2024,25/11/2024,MSJ773,Miles & Son Jewellery Studio,321.01
SI-00091525,25/11/2024,25/12/2024,EJ403,Gama Jewellery Pty Ltd Trading as Evans Jewellery,192.28
SI-00091526,26/11/2024,25/12/2024,WJ1243,Wodonga Jewellers,217.65
SI-00091527,25/11/2024,25/12/2024,SJ003,Speirs Jewellers,"3,433.95"
SI-00091530,26/11/2024,26/12/2024,LBJ652,Leon Baker Jewellers,"1,640.70"
SI-00091531,25/11/2024,25/11/2024,LJ001,Lorenzo Jewellery,"3,782.95"
SI-00091532,26/11/2024,26/12/2024,KD623,KL Diamonds,618.90
SI-00091533,26/11/2024,26/12/2024,I140A,IJC- Xronos Fine Jewellery,"1,780.22"
SI-00091534,26/11/2024,26/11/2024,JKJ585,Joseph King Jewellery,"2,847.29"
SI-00091535,26/11/2024,26/11/2024,GEJ001,Gem Empire Jewellers,"4,925.78"
SI-00091536,26/11/2024,26/12/2024,CMJ223,Class A Manufacturing Jewellers,"1,281.79"
SI-00091537,26/11/2024,26/12/2024,SJW1011,Selected Jewellery & Watches Co,"2,614.65"
SI-00091538,27/11/2024,26/12/2024,I046A,IJC- Campione Jewellery,"1,346.66"
SI-00091539,27/11/2024,26/12/2024,S170,SC- Crown Diamond Jewellers,379.77
SI-00091540,27/11/2024,26/11/2024,GLH426,Globe Lane Handmade Jewellery,738.60
SI-00091541,27/11/2024,27/12/2024,CJ181,Camaruti Jewellers,288.55
SI-00091542,26/11/2024,26/11/2024,AJ075,Argiro Jonathan,203.23
SI-00091543,26/11/2024,26/12/2024,SCJ001,Simon Curwood Jewellers,"2,404.44"
SI-00091544,26/11/2024,26/12/2024,SCJ001,Simon Curwood Jewellers,"1,033.95"
SI-00091545,26/11/2024,26/12/2024,SCJ001,Simon Curwood Jewellers,274.84
SI-00091546,27/11/2024,27/11/2024,JH567,Jim Hughes & Sons,2.48
SI-00091547,27/11/2024,27/12/2024,I005B,IJC- Toowoomba Jewellery Workshop,"19,816.69"
SI-00091548,27/11/2024,27/12/2024,S111,SC- Laursim Greg Neill,458.03
SI-00091549,19/12/2024,18/01/2025,S090,SC- Jeremy Fleming Jewellers,434.34
SI-00091550,28/11/2024,28/11/2024,RJ916,Rainbow Jewellers,207.04
SI-00091551,28/11/2024,28/11/2024,OTJ831,Ori The Jeweller,"1,858.14"
SI-00091552,28/11/2024,28/11/2024,TL1126,Tania Larosa,580.00
SI-00091553,28/11/2024,28/11/2024,OGS001,Oz Gold Shop,511.28
SI-00091554,28/11/2024,28/12/2024,DCP317,Diman Co Pty Ltd,297.89
SI-00091555,28/11/2024,28/11/2024,AC058,Annabelle & Co - Wetherill Park,191.24
SI-00091556,29/11/2024,29/11/2024,JH567,Jim Hughes & Sons,2.47
SI-00091557,29/11/2024,29/12/2024,COG220,City of Gold,12.18
SI-00091558,29/11/2024,29/12/2024,I015A,IJC- Robert Cliff Master Jewellers,"1,539.24"
SI-00091559,29/11/2024,29/12/2024,CMJ223,Class A Manufacturing Jewellers,376.82
SI-00091561,02/12/2024,01/01/2025,AB029,Alex Bros,39.00
SI-00091562,05/12/2024,04/01/2025,SCJ001,Simon Curwood Jewellers,320.99
SI-00091563,02/12/2024,02/12/2024,MAJ742,Melanie Anne Jewellery,621.47
SI-00091564,02/12/2024,01/01/2025,SIJ001,St Ives Jewellers,181.58
SI-00091565,02/12/2024,02/12/2024,MAJ742,Melanie Anne Jewellery,640.61
SI-00091566,02/12/2024,02/12/2024,JOH564,Jewels Of Hawthorn,606.86
SI-00091567,03/12/2024,01/01/2025,SJW1011,Selected Jewellery & Watches Co,132.80
SI-00091568,02/12/2024,02/12/2024,MDI001,Melissa De Ieso,"1,279.74"
SI-00091569,03/12/2024,02/01/2025,TLW211,The Little Workshop,218.54
SI-00091570,04/12/2024,03/01/2025,S125,SC- York Jewellers,244.11
SI-00091571,02/12/2024,02/12/2024,VPL1215,Vinsam Pty Ltd.,858.37
SI-00091572,03/12/2024,03/12/2024,OTJ831,Ori The Jeweller,273.90
SI-00091573,03/12/2024,02/01/2025,BJ110,Bachini Jewellers,4.24
SI-00091574,03/12/2024,02/01/2025,AJR001,Atlas Jewellers by Ray,64.39
SI-00091575,04/12/2024,02/01/2025,TIJ1175,Top Image Jewellery,192.62
SI-00091576,11/03/2025,18/03/2025,CFJ255,Crown Family Jewellers,679.69
SI-00091577,04/12/2024,03/01/2025,SJ1025,Sheppards Jewellers,"1,540.76"
SI-00091578,10/12/2024,04/01/2025,AB029,Alex Bros,"27,276.51"
SI-00091579,04/12/2024,03/01/2025,TAJ1134,The Avenue Jewellery & Gifts,5.51
SI-00091580,05/12/2024,03/01/2025,SCJ001,Simon Curwood Jewellers,641.85
SI-00091581,05/12/2024,05/12/2024,AWJ032,Alexander Jewellers Pty Ltd,"3,559.98"
SI-00091582,04/12/2024,03/01/2025,S167,SC- NJ & NC Smith Family Trust T/A Maffra Showcase,"1,235.78"
SI-00091583,04/12/2024,04/12/2024,LJ001,Lorenzo Jewellery,934.54
SI-00091584,04/12/2024,03/01/2025,SPL996,Sargisons Pty Ltd,157.23
SI-00091586,06/12/2024,06/12/2024,PJ855,Patrico Jewellers,"2,524.28"
SI-00091587,04/12/2024,04/12/2024,LJ001,Lorenzo Jewellery,64.70
SI-00091588,04/12/2024,04/12/2024,LJ001,Lorenzo Jewellery,307.40
SI-00091589,05/12/2024,05/12/2024,AJ039,Allgem Jewellers,255.66
SI-00091590,05/12/2024,05/12/2024,VPL1215,Vinsam Pty Ltd.,170.24
SI-00091591,05/12/2024,04/01/2025,S456,SC- My Jewellery Shop PTY LTD,"1,745.20"
SI-00091592,05/12/2024,04/01/2025,EFJ364,Evert Fine Jewellery,883.08
SI-00091593,05/12/2024,04/01/2025,EFJ364,Evert Fine Jewellery,"2,181.08"
SI-00091594,06/12/2024,05/01/2025,MJ771,Mikasa Jewellers,225.89
SI-00091595,05/12/2024,05/12/2024,JL547,Jewel Lane,"1,763.16"
SI-00091596,06/12/2024,06/12/2024,JL547,Jewel Lane,"8,495.35"
SI-00091597,06/12/2024,05/01/2025,COG220,City of Gold,12.18
SI-00091598,06/12/2024,06/12/2024,JH567,Jim Hughes & Sons,2.47
SI-00091599,09/12/2024,05/01/2025,SJW1011,Selected Jewellery & Watches Co,817.86
SI-00091600,10/12/2024,08/01/2025,AJW093,Atlas Jewellers - Wetherill Park,"14,565.80"
SI-00091601,09/12/2024,08/01/2025,VFJ1208,Victorian Flair Jewellery,322.03
SI-00091602,09/12/2024,08/01/2025,SCJ001,Simon Curwood Jewellers,106.18
SI-00091603,09/12/2024,08/01/2025,SJ003,Speirs Jewellers,"7,417.46"
SI-00091604,09/12/2024,16/12/2024,LC663,Linda & Co - Rhodes,692.58
SI-00091605,10/12/2024,09/01/2025,COG220,City of Gold,"1,110.57"
SI-00091606,10/12/2024,09/01/2025,EJ403,Gama Jewellery Pty Ltd Trading as Evans Jewellery,"2,458.55"
SI-00091607,10/12/2024,17/12/2024,SGJ1082,St. Germain Jewellers,208.30
SI-00091608,10/12/2024,09/01/2025,AJC-001,Atlas Jewellers - Casula,963.37
SI-00091609,10/12/2024,09/01/2025,SIJ001,St Ives Jewellers,"1,221.99"
SI-00091610,10/12/2024,09/01/2025,EBF001,Ernesto Buono Fine Jewellery,"1,989.11"
SI-00091611,10/12/2024,10/12/2024,RJC960,Ronald J Crisp Pty Ltd,383.30
SI-00091612,10/12/2024,09/01/2025,BPM139,Bill Proctor Manufacturing Jeweller,"1,345.51"
SI-00091613,10/12/2024,09/01/2025,S141,SC- Noonan's Showcase Jewellers,760.31
SI-00091614,10/12/2024,09/01/2025,AB029,Alex Bros,65.50
SI-00091615,10/12/2024,10/12/2024,JL547,Jewel Lane,5.84
SI-00091616,10/12/2024,09/01/2025,UJW1193,Uccello Jewellery & Watches,"1,958.91"
SI-00091617,10/12/2024,09/01/2025,ZNZ1257,Zed N Zed,582.72
SI-00091618,10/12/2024,09/01/2025,WFJ1237,Williamstown Filigree Jewellers,"2,342.29"
SI-00091619,10/12/2024,09/01/2025,TWJ1167,Tim's Watches & Jewellery,361.45
SI-00091620,11/12/2024,10/01/2025,MJ726,Matusik Jewellers,"1,593.33"
SI-00091621,10/12/2024,09/01/2025,S316,SC- Watson's Jewellers,635.03
SI-00091622,10/12/2024,09/01/2025,CMJ223,Class A Manufacturing Jewellers,"1,143.76"
SI-00091623,10/12/2024,09/01/2025,CMJ223,Class A Manufacturing Jewellers,"1,739.69"
SI-00091624,10/12/2024,17/12/2024,FD001,Forever Diamonds Pty Ltd,870.86
SI-00091626,11/12/2024,09/01/2025,I100A,IJC- Hammertons Jewellers,"1,822.53"
SI-00091627,11/12/2024,09/01/2025,VFJ1208,Victorian Flair Jewellery,251.47
SI-00091628,11/12/2024,11/12/2024,BFJ127,Bellrose Fine Jewellers,331.80
SI-00091629,11/12/2024,11/12/2024,JH567,Jim Hughes & Sons,2.48
SI-00091630,11/12/2024,11/12/2024,EP334,Eastern Pearl,191.09
SI-00091631,11/12/2024,10/01/2025,LBJ652,Leon Baker Jewellers,"8,167.09"
SI-00091632,11/12/2024,10/01/2025,YJ1252,Yass Jewellers,"1,221.99"
SI-00091633,11/12/2024,10/01/2025,I101A,IJC- Etheringtons The Jewellers,"2,205.60"
SI-00091634,11/12/2024,11/12/2024,CGD213,Christal Gold Designs,"3,306.50"
SI-00091635,12/12/2024,10/01/2025,TIJ1175,Top Image Jewellery,653.62
SI-00091636,11/12/2024,11/12/2024,JL547,Jewel Lane,319.00
SI-00091637,12/12/2024,11/01/2025,LBJ652,Leon Baker Jewellers,"9,115.41"
SI-00091638,12/12/2024,11/01/2025,MJ726,Matusik Jewellers,"1,284.83"
SI-00091639,12/12/2024,11/01/2025,SJW1011,Selected Jewellery & Watches Co,719.00
SI-00091640,13/12/2024,11/01/2025,TJ001,Top Jeweller,316.67
SI-00091641,12/12/2024,11/01/2025,S382,SC- Kyabram Showcase Jeweller,"7,525.80"
SI-00091642,12/12/2024,11/01/2025,PPJ898,Prime & Pure Jewellery,938.88
SI-00091643,12/12/2024,12/12/2024,DJ323,DNG Jewellers,280.79
SI-00091644,12/12/2024,11/01/2025,TAJ1134,The Avenue Jewellery & Gifts,0.00
SI-00091645,13/12/2024,13/12/2024,JH567,Jim Hughes & Sons,2.47
SI-00091646,13/12/2024,13/12/2024,RJ924,Reems Jewellery,897.57
SI-00091647,16/12/2024,16/12/2024,JJJ520,Jacobsons Jewellery-Bondi Junction,"8,839.40"
SI-00091648,16/12/2024,15/01/2025,BJ110,Bachini Jewellers,"2,402.38"
SI-00091649,13/12/2024,12/01/2025,VFJ1208,Victorian Flair Jewellery,232.33
SI-00091650,16/12/2024,15/01/2025,SJJ1099,Steven James Jewellers,228.37
SI-00091651,16/12/2024,15/01/2025,COG220,City of Gold,12.18
SI-00091652,17/12/2024,16/01/2025,EJ403,Gama Jewellery Pty Ltd Trading as Evans Jewellery,192.68
SI-00091653,16/12/2024,15/01/2025,LBJ652,Leon Baker Jewellers,"7,607.44"
SI-00091654,16/12/2024,15/01/2025,S130,SC- Kennedy's Showcase Jewellers,0.00
SI-00091655,16/12/2024,16/12/2024,AC057,Annabelle & Co - West Ryde,585.44
SI-00091656,16/12/2024,16/12/2024,SJQ001,Sasano Jewellers - QLD,274.16
SI-00091657,16/12/2024,16/12/2024,RJC960,Ronald J Crisp Pty Ltd,685.27
SI-00091658,16/12/2024,16/12/2024,DHJ302,Diamond House Jewellery,389.61
SI-00091659,17/12/2024,16/12/2024,HOG502,House of Gold-Salisbury,678.99
SI-00091660,17/12/2024,17/12/2024,RJC960,Ronald J Crisp Pty Ltd,142.46
SI-00091661,17/12/2024,17/12/2024,VPL1215,Vinsam Pty Ltd.,351.21
SI-00091662,17/12/2024,17/12/2024,JL547,Jewel Lane,5.84
SI-00091663,17/12/2024,16/01/2025,BJ110,Bachini Jewellers,4.24
SI-00091664,17/12/2024,17/12/2024,CC001,Cinnamon Creations,"3,850.00"
SI-00091665,17/12/2024,16/01/2025,VDJ1205,Victor Design Jewellers,"1,394.65"
SI-00091666,17/12/2024,16/01/2025,I015A,IJC- Robert Cliff Master Jewellers,198.25
SI-00091667,17/12/2024,16/01/2025,DDJ269,Daniele Designer Jewellers,"2,684.87"
SI-00091668,17/12/2024,16/01/2025,S111,SC- Laursim Greg Neill,"1,539.60"
SI-00091669,17/12/2024,17/12/2024,BRD166,Bruce Robinson Diamonds,"4,665.42"
SI-00091670,18/12/2024,18/12/2024,DJ321,DJ Jewellers,513.50
SI-00091671,18/12/2024,17/01/2025,I101A,IJC- Etheringtons The Jewellers,369.72
SI-00091672,18/12/2024,17/01/2025,WFJ1248,Wynnum Fine Jewellers,533.81
SI-00091673,18/12/2024,18/12/2024,JH567,Jim Hughes & Sons,2.48
SI-00091674,18/12/2024,18/12/2024,DHJ302,Diamond House Jewellery,"2,443.06"
SI-00091675,18/12/2024,18/12/2024,MJ776,Minas Jewellers,"2,453.00"
SI-00091676,18/12/2024,17/01/2025,AB029,Alex Bros,722.52
SI-00091677,18/12/2024,18/12/2024,LD647,Le-Diamant,927.96
SI-00091678,18/12/2024,17/01/2025,SCJ001,Simon Curwood Jewellers,"1,181.62"
SI-00091679,18/12/2024,18/12/2024,BGA158,Brilliance Gems of Australia International,"1,104.88"
SI-00091680,18/12/2024,17/01/2025,CJ181,Camaruti Jewellers,"1,763.87"
SI-00091681,18/12/2024,17/01/2025,SJ003,Speirs Jewellers,"2,469.83"
SI-00091682,18/12/2024,17/01/2025,SJ1063,Simons Jewellery - Wollongong,"2,768.79"
SI-00091683,18/12/2024,18/12/2024,DGJ299,Diamond Globe Jewellers,"1,435.57"
SI-00091684,18/12/2024,17/01/2025,CMJ223,Class A Manufacturing Jewellers,"1,638.42"
SI-00091685,18/12/2024,17/01/2025,S090,SC- Jeremy Fleming Jewellers,471.55
SI-00091686,18/12/2024,17/01/2025,AJC-001,Atlas Jewellers - Casula,617.89
SI-00091688,19/12/2024,18/01/2025,JHS591,JT House & Son,136.61
SI-00091689,19/12/2024,26/12/2024,FD001,Forever Diamonds Pty Ltd,219.67
SI-00091690,19/12/2024,19/12/2024,SJQ001,Sasano Jewellers - QLD,395.62
SI-00091691,19/12/2024,19/12/2024,RI958,Romeo Imports,242.00
